poet_id,nom_canonique,nom_famille,nom_variantes,holdouts,anth_Buk_Vang_1972,streets_inside_1978,poetry_loves_poetry_1985,invocation_LA_1989,grand_passion_1995,stand_up_1990,stand_up_2002,leimert_park_2006,wide_awake_2015,cross_strokes_2015,coiled_serpent_2016,leimert_park_redux_2017,workshop_beyond_baroque_2018,lapl_list,laureat,mohr_blog_absents
141,Peggy Dobreer,Dobreer,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
142,John Doe,Doe,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
143,Dennis Dorney,Dorney,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
144,Sharon Doubiago,Doubiago,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
145,Linda Dove,Dove,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
146,Kim Dower,Dower,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,West Hollywood,0
147,Sharif Dumani,Dumani,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
148,Jawanza Dumisani,Dumisani,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0
149,Steve Effingham,Effingham,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
150,Susan Efros,Efros,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
151,Christian Elder,Elder,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
152,Dennis Ellman,Ellman,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0
153,Seth Elpenor,Elpenor,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
154,Francisco Escamilla,Escamilla,Bus Stop Prophet,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
156,Frances Salome Espana,Espana,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0
157,Yvonne M. Estrada,Estrada,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0
158,Carrie Etter,Etter,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0
159,Eric Eztli,Eztli,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
160,Jenny Factor,Factor,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
161,B.H. Fairchild,Fairchild,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
162,Alexis Rhone Fancher,Fancher,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,0
163,Maria Fattorini,Fattorini,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
164,Rich Ferguson,Ferguson,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
166,Jamie Asaye Fitzgerald,Fitzgerald,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,,0
167,Mary Fitzpatrick,Fitzpatrick,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
168,Bob Flanagan,Flanagan,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
169,Angela Rose Flores,Flores,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
170,Charles Flowers,Flowers,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,West Hollywood,0
171,Michael C. Ford,Ford,,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,,0
172,Ruth Forman,Forman,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0
173,Simone Forti,Forti,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
174,Charles Foster,Foster,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
