poet_id,nom_canonique,poetry_magazine,american_poetry_review,kenyon_review,prairie_schooner,score_revues_volume,poetry_magazine_nb_pub,american_poetry_review_nb_pub,kenyon_review_nb_pub,prairie_schooner_nb_pub
269,Karen Kevorkian,[],[],[],[],0,0,0,0,0
270,Ed Kienholz,[],[],[],[],0,0,0,0,0
271,Stanley Kiesel,[],[1974],[],[],1,0,1,0,0
272,Chungmi Kim,[],[],[],[],0,0,0,0,0
273,Susan King,[],[],[],[],0,0,0,0,0
274,Linda King,[],[],[],[],0,0,0,0,0
275,Robert Kirsch,[],[],[],[],0,0,0,0,0
276,Jonathan Kirsch,[],[],[],[],0,0,0,0,0
277,Kaaren Kitchell,[],[],[],[],0,0,0,0,0
278,Doug Knott,[],[],[],[],0,0,0,0,0
279,Ron Koertge,[],[],[],[],0,0,0,0,0
280,Steve Kowit,[],[],[],[],0,0,0,0,0
281,Ian Krieger,[],[],[],[],0,0,0,0,0
282,Nancy Krusoe,[],[],[],[],0,0,0,0,0
283,James Krusoe,[],[1988],[],[],1,0,1,0,0
284,Harvey Kubernik,[],[],[],[],0,0,0,0,0
285,Suzanne Lacy,[],[],[],[],0,0,0,0,0
286,Maurice Lacy,[],[],[],[],0,0,0,0,0
287,Tom Laichas,[],[],[],[],0,0,0,0,0
288,Michael Lally,[],[],[],[],0,0,0,0,0
289,Frona Lane,[],[],[],[],0,0,0,0,0
290,Haley Laningham,[],[],[],[],0,0,0,0,0
291,Carlos Lara,[],[],[],[],0,0,0,0,0
292,Teka Lark,[],[],[],[],0,0,0,0,0
293,Carl Larsen,[],[],[],[],0,0,0,0,0
294,Christine Larusso,[],[],[],[],0,0,0,0,0
295,Anthony A. Lee,[],[],[],[],0,0,0,0,0
296,Janice Lee,[],[],[],[],0,0,0,0,0
297,Julayne Lee,[],[],[],[],0,0,0,0,0
298,Carol Lem,[],[],[],[],0,0,0,0,0
299,Lester Lennon,[],[],[],[],0,0,0,0,0
300,Russell Leong,[],[],[1995],[],1,0,0,1,0
302,Peter Levitt,[],[],[],[],0,0,0,0,0
303,Carol Lewis,[],[],[],[],0,0,0,0,0
304,Robin Coste Lewis,[],[],[],[],0,0,0,0,0
305,Kimberly Lieu,[],[],[],[],0,0,0,0,0
306,Martha Lifson,[],[],[],[],0,0,0,0,0
307,Mark Lipman,[],[],[],[],0,0,0,0,0
308,Lawrence Lipton,"[1955, 1956, 1957]",[],[],[1963],4,3,0,0,1
309,Kenji Liu,[],[],[],[],0,0,0,0,0
310,Gerald Locklin,[],[],[],[1965],1,0,0,0,1
311,Philomene Long,[],[],[],[],0,0,0,0,0
312,Jaime Lopez,[],[],[],[],0,0,0,0,0
313,Bia Lowe,[],[],"[1992, 1994, 2002]",[],3,0,0,3,0
314,Josslyn Luckett,[],[],[],[],0,0,0,0,0
315,Jason Luckett,[],[],[],[],0,0,0,0,0
316,Eve Luckring,[],[],[],[],0,0,0,0,0
317,Oshea Luja,[],[],[],[],0,0,0,0,0
318,Melanie Luja,[],[],[],[],0,0,0,0,0
319,Suzanne Lummis,[],[],[],[],0,0,0,0,0
320,Rick Lupert,[],[],[],[],0,0,0,0,0
321,K. Curtis Lyle,[],[],[],[],0,0,0,0,0
322,Phoebe MacAdams,[],[],[],[],0,0,0,0,0
323,Lewis MacAdams,[1972],[],[],[],1,1,0,0,0
324,Sarah Maclay,[],[2006],[],[],1,0,1,0,0
325,Robert Mader-Kammer,[],[],[],[],0,0,0,0,0
326,Ruth Madievsky,[],[2022],[2019],"[2015, 2017]",4,0,1,1,2
327,Mad Mike Magdalani,[],[],[],[],0,0,0,0,0
328,Karineh Mahdessian,[],[],[],[],0,0,0,0,0
329,Marvin Malone,[],[],[],[],0,0,0,0,0
330,Barbara Maloutas,[],[],[],[],0,0,0,0,0
331,Albert Maltz,[],[],[],[],0,0,0,0,0
332,Nichola Manning,[],[],[],[],0,0,0,0,0
333,Lynn Manning,[],[],[],[],0,0,0,0,0
334,Douglas Manuel,[],[],[],[],0,0,0,0,0
335,Ray Manzarek,[],[],[],[],0,0,0,0,0
336,Ymasumac Maranon,[],[],[],[],0,0,0,0,0
337,William Margolis,[],[],[],[],0,0,0,0,0
338,Ruthie Marlene,[],[],[],[],0,0,0,0,0
339,John Martin,[],[],[],[],0,0,0,0,0
340,Jeffery Martin,[],[],[],[],0,0,0,0,0
341,Ruben Martinez,[],[],[],[],0,0,0,0,0
342,D Hideo Maruyama,[],[],[],[],0,0,0,0,0
343,Keith Antar Mason,[],[],[],[],0,0,0,0,0
344,Holaday Mason,[],[],[],[],0,0,0,0,0
345,James Boyer May,[],[],[],[1958],1,0,0,0,1
346,Anthony McCann,[],[],[],[1996],1,0,0,0,1
347,Horace McCoy,[],[],[],[],0,0,0,0,0
348,Ross McDonald,[],[],[],[],0,0,0,0,0
349,Rhiannon McGavin,[],[],[],[],0,0,0,0,0
350,Thomas McGrath,"[1949, 1955, 1963, 1967, 1971, 1988]","[1974, 1978, 1987, 1989]",[],[],10,6,4,0,0
351,Carey McWilliams,[],[],[],[],0,0,0,0,0
352,Deborah Meadows,[],[],[],[],0,0,0,0,0
353,Murray Mednick,[],[],[],[],0,0,0,0,0
354,Jose Mendivil,[],[],[],[],0,0,0,0,0
355,Sequoia Olivia Mercier,[],[],[],[],0,0,0,0,0
356,Douglas Messerli,[],[1984],[],[],1,0,1,0,0
357,Deena Metzger,[],[],[],[],0,0,0,0,0
358,Bert Meyers,[1962],[1974],[],[1962],3,1,1,0,1
359,Robert Mezey,"[1957, 1958, 1961, 1962, 1966, 1970, 1971, 1978, 1991, 1992, 1993, 1994]","[1985, 1994, 1996]","[1954, 1957, 1992]",[],18,12,3,3,0
360,Rondo Mieczkowski,[],[],[],[],0,0,0,0,0
361,Elena Minor,[],[],[],[],0,0,0,0,0
362,Rhonda Lynn Mitchell,[],[],[],[],0,0,0,0,0
363,Penelope Moffet,[],[],[],[],0,0,0,0,0
364,Bill Mohr,[],[],[],[],0,0,0,0,0
365,Alejandro Molina,[],[],[],[],0,0,0,0,0
366,Thea Monyee,[],[],[],[],0,0,0,0,0
367,Cher'rie Moraga,[],[],[],[],0,0,0,0,0
368,James Ryan Morris,[],[],[],[],0,0,0,0,0
369,Henry J. Morro,[],[],[],[],0,0,0,0,0
370,Walter Moseley,[],[],[],[],0,0,0,0,0
371,Sybil Mosely,[],[],[],[],0,0,0,0,0
372,Suzanne Muchnic,[],[],[],[],0,0,0,0,0
373,Judy Mudfoot,[],[],[],[],0,0,0,0,0
374,Merilene M. Murphy,[],[],[],[],0,0,0,0,0
375,Carol Muske-Dukes,"[2002, 2009]","[2003, 2005, 2008, 2017]","[2001, 2003, 2009, 2015, 2020]",[],11,2,4,5,0
376,Majid Naficy,[],[],[],[],0,0,0,0,0
377,Marty Nakel,[],[],[],[],0,0,0,0,0
378,Jim Natal,[],[],[],[],0,0,0,0,0
379,Mindy Nettifee,[],[],[],[],0,0,0,0,0
380,Sasha Newborn,[],[],[],[],0,0,0,0,0
381,Charley Newman,[],[],[],[],0,0,0,0,0
382,Julia Newman,[],[],[],[],0,0,0,0,0
383,Gail Newman,[],[],[],"[2016, 2019]",2,0,0,0,2
384,Terri Niccum,[],[],[],[],0,0,0,0,0
385,Alice Nicholas,[],[],[],[],0,0,0,0,0
386,Ann Nietzsche,[],[],[],[],0,0,0,0,0
387,Janet Nippell,[],[],[],[],0,0,0,0,0
388,Art Nixon,[],[],[],[],0,0,0,0,0
389,Victor Noel,[],[],[],[],0,0,0,0,0
390,Marisela Norte,[],[],[],[],0,0,0,0,0
391,Harry Northup,[],[],[],[],0,0,0,0,0
392,Estelle Gershgoren Novak,[],[],[],[],0,0,0,0,0
393,V. Kali Nurigan,[],[],[],[],0,0,0,0,0
394,Marsha De la O,[],[],[2018],[2018],2,0,0,1,1
395,Jamie O'Halloran,[],[],[],[1998],1,0,0,0,1
396,William Oandasan,[],[],[],[],0,0,0,0,0
397,Akilah Nayo Oliver,[],[],[],[],0,0,0,0,0
398,Wendy C. Ortiz,[],[],[],[],0,0,0,0,0
399,Martin Ott,[],[],[],[2009],1,0,0,0,1
400,Rosella Pace,[],[],[],[],0,0,0,0,0
401,Javier Pacheco,[],[],[],[],0,0,0,0,0
402,Judith Pacht,[],[],[],[],0,0,0,0,0
403,Nancy Padron,[],[],[],[],0,0,0,0,0
404,Melinda Palacio,[],[],[],[],0,0,0,0,0
405,Rae Paris,[],[],[],[],0,0,0,0,0
406,Morgan Parker,"[2015, 2017]",[],[],[],2,2,0,0,0
407,T. Jefferson Parker,[],[],[],[],0,0,0,0,0
408,Blanche Paul,[],[],[],[],0,0,0,0,0
409,Sherman Pearl,[],[],[],[],0,0,0,0,0
410,Marlene Pearson,[],[],[],[],0,0,0,0,0
411,Candace Pearson,[],[],[],[],0,0,0,0,0
412,Gerda Penfold,[],[],[],[],0,0,0,0,0
413,Cece Peri,[],[],[],[],0,0,0,0,0
414,Suzan Perkoff,[],[],[],[],0,0,0,0,0
415,Stuart Z. Perkoff,[],[],[],[],0,0,0,0,0
416,Alice Pero,[],[],[],[],0,0,0,0,0
417,Robert Peters,[],[],[],[1969],1,0,0,0,1
418,Dennis Phillips,[],[],[],[],0,0,0,0,0
419,Ramona Pilar,[],[],[],[],0,0,0,0,0
420,William Pillin,"[1950, 1954, 1955, 1957, 1959]",[],[],[1958],6,5,0,0,1
421,Ben Pleasants,[],[],[],[],0,0,0,0,0
422,Robin Podolsky,[],[],[],[],0,0,0,0,0
423,Doraine Poretz,[],[],[],[],0,0,0,0,0
424,Nailah Porter,[],[],[],[],0,0,0,0,0
425,Holly Prado,[],[1976],[1990],[],2,0,1,1,0
426,Eric Priestley,[],[],[],[],0,0,0,0,0
427,Jerry Quickley,[],[],[],[],0,0,0,0,0
428,Naomi Quinonez,[],[],[],[],0,0,0,0,0
429,Arturo Quiros,[],[],[],[],0,0,0,0,0
430,Claire Rabe,[],[],[],[],0,0,0,0,0
431,James Ragan,"[2004, 2005]",[],[],[2005],3,2,0,0,1
432,Jed Rasula,[],[],[],[],0,0,0,0,0
433,Arlene Raven,[],[],[],[],0,0,0,0,0
434,Linda Ravenswood,[],[],[],[],0,0,0,0,0
435,Donald Rawley,[],[],[],[],0,0,0,0,0
436,A. Razor,[],[],[],[],0,0,0,0,0
