poet_id,nom_canonique,poetry_magazine,american_poetry_review,kenyon_review,prairie_schooner
512,Phil Spector,[],[],[],[]
513,Lawrence Spingarn,[],[],[],[]
514,Donna Spruijt-Metz,[],[],[],[]
515,A.C. Lyons Sr.,[],[],[],[]
516,Ann Stanford,"[1950, 1956, 1959, 1960, 1963, 1967, 1972, 1975, 1976, 2002]",[],[1950],"[1968, 1970, 1986]"
517,Robert Stanley,[],[],[],[]
518,Timothy Steele,"[1972, 1977, 1982, 1983, 1985, 1987, 1992, 1995, 1998, 1999, 2000, 2001, 2002]",[1982],[2005],[]
519,Brian Kim Stefans,[2017],[],[],[]
520,Julia Stein,[],[],[],[]
521,Charles Stetler,[],[],[],[]
522,Austin Straus,[],[],[],[]
523,John Struloeff,[],[],[],[2006]
524,Rob Sullivan,[],[],[],[]
525,Hannibal Tabu,[],[],[],[]
526,Ambika Talwar,[],[],[],[]
527,Amber Tamblyn,[],[],[],[]
528,Horace Tapscott,[],[],[],[]
529,Roger Taus,[],[],[],[]
530,Judith Taylor,[1995],[1998],[],"[2001, 2004]"
531,Jervey Tervalon,[],[],[],[]
532,Judith Terzi,[],[],[],[]
533,Edmund Teske,[],[],[],[]
534,Tezozomoc,[],[],[],[]
535,Tanya S. Thamkruphat,[],[],[],[]
536,John Thomas,[],[],[],[]
537,Lynne Thompson,[2017],[],[],[2014]
538,Daniel Tiffany,[2013],[],[],[]
539,Matthew Timmons,[],[],[],[]
540,Imani Tolliver,[],[],[],[]
541,A.K. Toney,[],[],[],[]
542,Mary Torregrossa,[],[],[],[]
543,Michael Torres,[2021],[],[],[]
544,Alison Townsend,[],[],[2020],"[1992, 2007, 2009]"
545,Paul Trachtenberg,[],[],[],[]
546,Gene Trembleau,[],[],[],[]
547,David Trinidad,[2002],"[2000, 2006, 2011]",[],[]
548,Alexander Trocchi,[],[],[],[]
549,Quincy Troupe,[],[2005],[1991],[2016]
550,Tu'Nook,[],[],[],[]
551,Wyatt Underwood,[],[],[],[]
552,Mitchell Untch,[],[],[],[]
553,Anna Urena,[],[],[],[]
554,Amy Uyematsu,[],[],[],[]
555,Victor Valle,[],[],[],[]
556,Gloria Vando,[],[],[1992],[]
557,Paul Vangelisti,[],[],[],[]
558,Debra A. Varnado,[],[],[],[]
559,Cherry Jean Vasconcellos,[],[],[],[]
560,Rolland Vasin,[],[],[],[]
561,Gustavo Adolfo Guerra Vasquez,[],[],[],[]
562,Yvonne de la Vega,[],[],[],[]
563,Sharon Venezio,[],[],[],[]
564,Michael Ventura,[],[],[],[]
565,Vickie Vertiz,[],[],[],[]
566,Jennifer Lisa Vest,[],[],[],[]
567,Estela Victoria-Cordero,[],[],[],[]
568,Raul Homero Villa,[],[],[],[]
569,Antonieta Villamil,[],[],[],[]
570,Celia Viramontes,[],[],[],[]
571,Marci Vogel,[],[],[],[]
572,Arthur Vogelsang,"[2010, 2014]",[],[],[]
573,Fred Voss,[],[],[],[]
574,Tom Waits,[],[],[],[]
575,Diane Wakoski,"[1961, 1971, 1972, 1973, 1974, 1976, 1977]","[1973, 1974]",[],"[1969, 1973, 1984, 2008, 2015]"
576,Melora Walters,[],[],[],[]
577,Scott Wannberg,[],[],[],[]
578,Pam Ward,[],[],[],[]
579,Marine Robert Warden,[],[],[],[]
580,Joanna Warwick,[],[1983],[],[]
581,Charles Harper Webb,[2002],[1998],"[2005, 2007]","[2001, 2003, 2006, 2009, 2011, 2012, 2013]"
583,Florence Weinberger,[],[],[],[]
584,Mel Weisburg,[],[],[],[]
585,Hilda Weiss,[],[],[],[]
586,Benjamin Weissman,[],[],[],[]
587,Lawrence Weschler,[],[],[],[]
588,Jackson Wheeler,[],[],[],[2004]
589,Saul White,[],[],[],[]
590,Rex Wilder,"[1992, 1994, 2004]",[2005],[],[]
591,Conney D. Williams,[],[],[],[]
592,Angelo Williams,[],[],[],[]
