poet_id,nom_canonique,score_canon_local,score_national_presence,categorie
413,Cece Peri,1,0,peripherie
419,Ramona Pilar,1,0,peripherie
422,Robin Podolsky,1,0,peripherie
423,Doraine Poretz,1,0,peripherie
424,Nailah Porter,1,0,peripherie
427,Jerry Quickley,1,0,peripherie
428,Naomi Quinonez,1,0,peripherie
429,Arturo Quiros,1,0,peripherie
432,Jed Rasula,1,0,peripherie
435,Donald Rawley,1,0,peripherie
436,A. Razor,1,0,peripherie
441,Luivette Resto,1,0,peripherie
442,Michael Reyes,1,0,peripherie
443,Erika Reyes,1,0,peripherie
444,Thelma T. Reyna,1,0,peripherie
447,Steve Richmond,1,0,peripherie
448,Frankie Rios,1,0,peripherie
449,El Rivera,1,0,peripherie
450,Sophia Rivera,1,0,peripherie
452,Ariel Robello,1,0,peripherie
453,Marilyn Robertson,1,0,peripherie
457,Daniela Rodriguez,1,0,peripherie
458,Trini Rodriguez,1,0,peripherie
459,Claudia Rodriguez,1,0,peripherie
460,Norma Rodriguez,1,0,peripherie
461,Ramiro D. Rodriguez,1,0,peripherie
462,Jeff Rogers,1,0,peripherie
465,Conrad Romo,1,0,peripherie
466,Jessica Romoff,1,0,peripherie
468,Sylvia Rosen,1,0,peripherie
473,A.P. Russo,1,0,peripherie
474,Mehnaz Sahibzada,1,0,peripherie
475,Pogo Saito,1,0,peripherie
478,Abel Salas,1,0,peripherie
480,Alejandra Sanchez,1,0,peripherie
481,Georgiana Valoyce Sanchez,1,0,peripherie
483,T Sarmina,1,0,peripherie
485,Nicky Sa-eun Schildkraut,1,0,peripherie
489,Tony Scibella,1,0,peripherie
495,Michael Shepler,1,0,peripherie
497,Nancy Shiffrin,1,0,peripherie
500,Renee Simms,1,0,peripherie
504,Willie Sims,1,0,peripherie
507,Frances Dean Smith,1,0,peripherie
509,Raaki Solomon,1,0,peripherie
513,Lawrence Spingarn,1,0,peripherie
515,A.C. Lyons Sr.,1,0,peripherie
517,Robert Stanley,1,0,peripherie
520,Julia Stein,1,0,peripherie
524,Rob Sullivan,1,0,peripherie
526,Ambika Talwar,1,0,peripherie
527,Amber Tamblyn,1,0,peripherie
529,Roger Taus,1,0,peripherie
532,Judith Terzi,1,0,peripherie
534,Tezozomoc,1,0,peripherie
539,Matthew Timmons,1,0,peripherie
545,Paul Trachtenberg,1,0,peripherie
550,Tu'Nook,1,0,peripherie
551,Wyatt Underwood,1,0,peripherie
552,Mitchell Untch,1,0,peripherie
553,Anna Urena,1,0,peripherie
555,Victor Valle,1,0,peripherie
558,Debra A. Varnado,1,0,peripherie
559,Cherry Jean Vasconcellos,1,0,peripherie
561,Gustavo Adolfo Guerra Vasquez,1,0,peripherie
562,Yvonne de la Vega,1,0,peripherie
563,Sharon Venezio,1,0,peripherie
565,Vickie Vertiz,1,0,peripherie
566,Jennifer Lisa Vest,1,0,peripherie
567,Estela Victoria-Cordero,1,0,peripherie
570,Celia Viramontes,1,0,peripherie
576,Melora Walters,1,0,peripherie
584,Mel Weisburg,1,0,peripherie
592,Angelo Williams,1,0,peripherie
595,Sammy Winston,1,0,peripherie
599,Nancy Lynee Woo,1,0,peripherie
602,Nina Yamamoto,1,0,peripherie
603,Tina Yang,1,0,peripherie
608,Sung Yol Yi,1,0,peripherie
610,Curtis Zahn,1,0,peripherie
611,Jaha Zainabu,1,0,peripherie
615,Al Zolynas,1,0,peripherie
617,Goldie the Poet,1,0,peripherie
619,Jenuine Poetess,1,0,peripherie
620,A Kold Piece,1,0,peripherie
621,Father Amde,1,0,peripherie
622,October B.L.U.,1,0,peripherie
623,Charlotte Sista C Ferrell,1,0,peripherie
624,Adolphus McDuffie Jr.,1,0,peripherie
625,Susannah Foster,1,0,peripherie
8,Josephine Ain,0,0,peripherie
12,Robert Alexander,0,0,peripherie
14,Luis Alfaro,0,0,peripherie
27,Michael Andrews,0,0,peripherie
33,Kenneth Atchity,0,0,peripherie
51,Wallace Berman,0,0,peripherie
57,Billy Al Bingston,0,0,peripherie
81,Ben Caldwell,0,0,peripherie
103,Judy Chicago,0,0,peripherie
117,Buddy Collette,0,0,peripherie
129,James Cushing,0,0,peripherie
135,Jacqueline DeAngelis,0,0,peripherie
150,Susan Efros,0,0,peripherie
173,Simone Forti,0,0,peripherie
174,Charles Foster,0,0,peripherie
181,George Fuller,0,0,peripherie
182,Sol Funerol,0,0,peripherie
195,Marsha Getzler,0,0,peripherie
198,Guillermo Gomez-Pena,0,0,peripherie
216,Gronk,0,0,peripherie
218,Joseph Hansen,0,0,peripherie
227,George Herms,0,0,peripherie
229,Judith Hernandez,0,0,peripherie
236,Billy Higgins,0,0,peripherie
247,Tanya Ko Hong,0,0,peripherie
248,Walter Hopps,0,0,peripherie
249,Coy Howard,0,0,peripherie
251,Dorothy B. Hughes,0,0,peripherie
256,Eileen Aaronson Ireland,0,0,peripherie
257,William Iwamoto,0,0,peripherie
260,Paul Jarrico,0,0,peripherie
270,Ed Kienholz,0,0,peripherie
273,Susan King,0,0,peripherie
275,Robert Kirsch,0,0,peripherie
276,Jonathan Kirsch,0,0,peripherie
282,Nancy Krusoe,0,0,peripherie
284,Harvey Kubernik,0,0,peripherie
285,Suzanne Lacy,0,0,peripherie
286,Maurice Lacy,0,0,peripherie
289,Frona Lane,0,0,peripherie
293,Carl Larsen,0,0,peripherie
327,Mad Mike Magdalani,0,0,peripherie
329,Marvin Malone,0,0,peripherie
331,Albert Maltz,0,0,peripherie
335,Ray Manzarek,0,0,peripherie
339,John Martin,0,0,peripherie
347,Horace McCoy,0,0,peripherie
348,Ross McDonald,0,0,peripherie
351,Carey McWilliams,0,0,peripherie
367,Cher'rie Moraga,0,0,peripherie
368,James Ryan Morris,0,0,peripherie
370,Walter Moseley,0,0,peripherie
372,Suzanne Muchnic,0,0,peripherie
373,Judy Mudfoot,0,0,peripherie
377,Marty Nakel,0,0,peripherie
380,Sasha Newborn,0,0,peripherie
381,Charley Newman,0,0,peripherie
382,Julia Newman,0,0,peripherie
386,Ann Nietzsche,0,0,peripherie
392,Estelle Gershgoren Novak,0,0,peripherie
396,William Oandasan,0,0,peripherie
407,T. Jefferson Parker,0,0,peripherie
408,Blanche Paul,0,0,peripherie
414,Suzan Perkoff,0,0,peripherie
421,Ben Pleasants,0,0,peripherie
430,Claire Rabe,0,0,peripherie
433,Arlene Raven,0,0,peripherie
446,Arte Richer,0,0,peripherie
464,Henry Rollins,0,0,peripherie
471,Ed Ruscha,0,0,peripherie
479,Mark Salerno,0,0,peripherie
488,Budd Schulberg,0,0,peripherie
490,Adrian Scott,0,0,peripherie
498,Lynn Shoemaker,0,0,peripherie
501,Norton Simon,0,0,peripherie
508,George Drury Smith,0,0,peripherie
512,Phil Spector,0,0,peripherie
528,Horace Tapscott,0,0,peripherie
533,Edmund Teske,0,0,peripherie
546,Gene Trembleau,0,0,peripherie
548,Alexander Trocchi,0,0,peripherie
564,Michael Ventura,0,0,peripherie
568,Raul Homero Villa,0,0,peripherie
574,Tom Waits,0,0,peripherie
586,Benjamin Weissman,0,0,peripherie
587,Lawrence Weschler,0,0,peripherie
589,Saul White,0,0,peripherie
594,Michael Wilson,0,0,peripherie
600,Elaine Woo,0,0,peripherie
613,Jake Zeitlin,0,0,peripherie
